,Tweets
56,"@ItuYa9 Hai Kak. Perihal kendala Kakak mengenai toko yang di moderasi, Kami sudah menghubungi Kakak melalui DM ya.… https://t.co/weODesqcUw"
57,Streaming bareng Minto💜💜💜💜 #TheAstronaut https://t.co/wyY5nmWzYZ
58,"❤️LIKE kalau kamu suka kostum Vampire🧛🏻
🔃RETWEET kalau kamu suka kostum labu 🎃
💭REPLY kalau kamu suka kostum laba-l… https://t.co/ZJdmyBy3i7"
59,"Jangan ngaku pecinta Diecast kalau belum mampir ke Bazar Online Diecast di #TokopediaFunstation!

Karena gak hanya… https://t.co/OyZLwQekAv"
60,"ANGELIC SILVER VOCALIST JIN-HYUNG!!!!
FEELS LIKE WARMEST HUG EVER GAK SIH CHINGU???😫😫

SIAPA YANG MAU NANGIS BARENG… https://t.co/C14Q9gnkgH"
61,"🎵 When I'm with you 
There is no one else~‍🚀

#miaminto"
62,"Gessssss, Minto nemu permen enak untuk melegakan tenggorokan di saat batuk radang mengganggu nihh!! #twitpdp #fmcg #racuntokped"
63,Cie yang lagi streaming #TheAstronaut https://t.co/PQZy4ow4pg
64,Minto kasih kesempatan buat kamu yg belum ikutan iniiii👇👇👇 https://t.co/tfXyp1wyET
65,"Hari ini hari apa yaaaa???

Buruan cek kostumnya buat halloween di: https://t.co/VvTJLoCS9t

#twitfindpage #fashion… https://t.co/3tZl25MbtE"
66,"Selamat Hari Sumpah Pemuda 🥳💚 Toppers! Minto mau tes pengetahuan kamu nih, ada yg tau gakkk di tahun 2022 ini, Hari… https://t.co/QDAX6TuEAE"
67,"Beli Voucher OSC bisa berkesempatan untuk dapat Beasiswa di kampus ternama? 

Mau tau caranya? Yuk simak info selen… https://t.co/wVz5CmriZG"
68,"Mana nih yang dari kemarin nungguin iPhone 14 rilis?

Nih sekarang kamu udah bisa preorder di Tokopedia loh! Nantik… https://t.co/9dIlNZw7ld"
69,Wii Minto nemu Sheet Mask VT Cosmetic di #KejarDiskon. Harganya jadi 10 ribuan aja 🥰 Langsung Check out ahh!! Siapa… https://t.co/ld4CBJjiRS
70,"Hari ini hari apa??

#miaminto https://t.co/SQlKw0T1ih"
71,"Siap-siap semuanya‼️

Karena sebentar lagi Promo #KejarDiskon Special Midnight sale akan dimulai. Set alarmnya biar… https://t.co/jEDDhNR27H"
72,APAAN TUH?????? https://t.co/DaFNElz3Y0
73,"Halo David di sini, mau kasih tahu kalau Tab Samsung cuma Rp1.000 aja! Dan ada produk kebutuhan pria juga dengan ha… https://t.co/uuOWXEakBj"
74,sudah kah kamu ambil paket hari ini?😜
75,Bingung kok ga ganteng-ganteng? Di #NightDealsPlay ada perlengkapan buat upgrade level ganteng kamu hanya Rp1.010 d… https://t.co/3WOY2zvNzq
